ts_0 elapsed_0 pkg_0 pp0_0 dram_0 ts_1 elapsed_1 pkg_1 pp0_1 dram_1 
1335562136.278021 0.009998 17.180112 3.839847 1.587218 1335562136.278080 0.010002 17.377989 4.155705 1.600343 
1335562136.288020 0.009999 17.544720 4.220988 2.266148 1335562136.288077 0.009997 17.459957 4.198998 1.602671 
1335562136.298024 0.010004 15.441754 3.457769 1.438322 1335562136.298083 0.010006 17.392299 4.167747 1.439573 
1335562136.308024 0.010000 18.875140 4.217533 1.614381 1335562136.308082 0.009999 17.714109 4.436157 1.600801 
1335562136.318023 0.009999 15.478481 3.486969 1.614535 1335562136.318090 0.010008 15.638278 3.762822 1.760964 
1335562136.328022 0.009999 16.842748 3.522068 1.619113 1335562136.328079 0.009989 17.669236 4.425329 1.442013 
1335562136.338021 0.009999 17.477575 4.143160 1.594697 1335562136.338075 0.009996 17.634117 4.407003 1.601298 
1335562136.348025 0.010004 17.156149 3.836034 2.146044 1335562136.348080 0.010005 17.380231 4.168144 1.601373 
1335562136.358026 0.010001 16.879205 3.556488 1.937683 1335562136.358083 0.010003 17.397273 4.168939 1.600153 
1335562136.368017 0.009991 16.865577 3.532562 1.606682 1335562136.368074 0.009991 17.745281 4.482520 1.440210 
1335562136.378006 0.009989 16.847412 3.524071 1.452705 1335562136.378075 0.010001 17.675638 4.444466 1.605073 
1335562136.388024 0.010018 16.836574 3.521455 1.611461 1335562136.388078 0.010003 17.401850 4.165888 1.600153 
1335562136.398023 0.009999 16.839696 3.523594 1.603853 1335562136.398077 0.009999 17.379909 4.159947 1.600801 
1335562136.408023 0.010000 16.842667 3.521732 1.809694 1335562136.408081 0.010004 17.421544 4.176168 1.603051 
1335562136.418026 0.010003 17.156259 3.837925 2.047097 1335562136.418084 0.010003 17.407951 4.173515 1.600153 
1335562136.428026 0.010000 16.857926 3.550724 1.603700 1335562136.428080 0.009996 17.405142 4.165816 1.601298 
1335562136.438025 0.009999 16.864112 3.523594 1.449725 1335562136.438082 0.010002 17.391719 4.163333 1.600343 
1335562136.448022 0.009997 16.841784 3.522824 1.608777 1335562136.448079 0.009997 17.383639 4.157787 1.601145 
1335562136.458009 0.009987 16.872019 3.526272 1.611879 1335562136.458076 0.009997 17.408061 4.160839 1.602671 
1335562136.468022 0.010013 15.145864 3.163579 1.584837 1335562136.468077 0.010001 17.372017 4.154576 1.602022 
1335562136.478024 0.010002 18.531334 3.881099 2.152607 1335562136.478081 0.010004 17.401716 4.162440 1.601525 
1335562136.488024 0.010000 16.848771 3.523258 1.600648 1335562136.488080 0.009999 17.384487 4.159947 1.599275 
1335562136.498026 0.010002 15.446592 3.452409 1.449310 1335562136.498082 0.010002 15.687636 3.780410 1.440156 
1335562136.508022 0.009996 16.905977 3.584220 1.613510 1335562136.508084 0.010002 19.362780 4.791876 1.600343 
